User_ID,Age,Gender,Sleep_Duration,Stress_Level,Diet_Type,Daily_Screen_Time,Exercise_Frequency,Caffeine_Intake,Reaction_Time,Memory_Test_Score,Cognitive_Score,AI_Predicted_Score
U57,54,Other,9.5,2,Vegan,8.6,Medium,172,222.41,81,100.0,100.0
U58,31,Male,6.7,8,Vegetarian,5.6,Low,144,509.8,82,37.15,41.35
U59,41,Female,9.7,2,Non-Vegetarian,3.5,Low,22,417.42,81,75.64,78.64
U60,44,Male,7.5,4,Non-Vegetarian,10.6,Low,101,486.32,84,45.03,40.3
U61,44,Female,4.7,3,Vegan,3.6,High,241,348.77,91,90.55,90.31
U62,41,Male,8.7,10,Non-Vegetarian,11.3,Medium,278,344.46,94,69.48,73.89
U63,57,Female,7.3,7,Non-Vegetarian,11.6,High,491,415.19,91,59.68,58.78
U64,18,Male,6.3,5,Non-Vegetarian,4.2,Medium,141,253.58,68,90.22,94.31
U65,56,Male,8.5,1,Non-Vegetarian,5.9,Medium,291,200.1,80,100.0,98.88
U66,30,Male,7.5,7,Vegetarian,2.2,High,65,538.84,97,65.09,64.43
U67,37,Male,9.0,8,Vegetarian,4.5,Medium,230,326.89,52,67.17,67.67
U68,55,Female,8.0,4,Non-Vegetarian,3.4,Medium,319,248.59,99,100.0,97.0
U69,53,Female,8.5,9,Vegan,8.0,Medium,46,576.36,80,35.02,31.91
U70,29,Other,6.3,7,Non-Vegetarian,11.0,Medium,246,494.38,75,37.28,40.59
U71,22,Male,8.9,2,Non-Vegetarian,1.8,Low,10,254.46,78,100.0,100.0
U72,22,Male,4.5,7,Non-Vegetarian,3.0,Medium,84,585.6,59,25.72,27.22
U73,34,Other,8.7,6,Vegetarian,9.5,Medium,69,215.99,70,93.77,89.75
U74,55,Male,9.6,7,Non-Vegetarian,11.1,Low,90,471.42,45,25.68,29.19
U75,27,Female,5.6,8,Non-Vegetarian,9.2,Medium,68,394.28,83,60.83,61.97
U76,33,Female,9.1,10,Non-Vegetarian,5.7,Low,12,353.15,44,47.55,52.29
U77,41,Male,6.9,2,Vegetarian,8.4,Low,319,262.23,62,73.11,72.38
U78,46,Female,9.9,2,Non-Vegetarian,1.3,High,211,583.79,95,69.83,71.0
U79,31,Female,9.4,7,Non-Vegetarian,9.7,Medium,315,368.83,84,69.48,72.67
U80,27,Male,9.1,5,Non-Vegetarian,4.4,High,116,242.94,75,100.0,100.0
U81,46,Female,7.5,9,Vegan,9.8,Low,379,232.74,43,52.43,50.03
U82,45,Female,10.0,1,Non-Vegetarian,2.7,High,381,273.26,94,100.0,96.75
U83,34,Female,4.7,6,Non-Vegetarian,2.4,Medium,420,498.98,70,42.24,45.57
U84,22,Male,5.7,9,Vegan,5.2,Low,243,578.18,44,1.38,1.81
U85,19,Male,9.2,3,Vegetarian,2.3,Medium,449,485.16,83,65.61,61.32
U86,53,Male,5.9,4,Non-Vegetarian,8.7,Low,486,500.8,80,32.56,33.32
U87,57,Male,8.0,7,Non-Vegetarian,4.2,Medium,124,595.1,76,37.04,33.73
U88,56,Female,9.2,7,Non-Vegetarian,10.9,Medium,317,505.87,56,30.4,33.42
U89,26,Male,8.7,4,Non-Vegetarian,8.2,Medium,463,331.09,70,72.66,69.89
U90,53,Female,8.6,7,Non-Vegetarian,5.9,Low,84,480.46,60,37.59,41.06
U91,22,Male,9.1,6,Vegetarian,3.5,Medium,399,232.33,61,89.75,87.84
U92,32,Female,5.3,8,Vegetarian,3.5,Low,104,533.61,83,34.84,30.44
U93,26,Male,4.1,5,Vegetarian,4.0,Low,448,466.35,84,42.51,47.17
U94,42,Male,8.8,7,Non-Vegetarian,3.6,High,331,489.74,95,67.46,71.75
U95,45,Male,8.3,8,Vegetarian,10.2,Low,176,327.08,99,71.77,74.32
U96,44,Male,9.3,10,Non-Vegetarian,5.3,High,228,382.96,52,58.26,57.15
U97,50,Male,5.7,6,Non-Vegetarian,5.1,Medium,323,466.09,51,38.11,35.74
U98,50,Male,9.9,1,Non-Vegetarian,5.1,High,372,588.46,70,49.63,46.79
U99,55,Female,4.7,8,Non-Vegetarian,1.2,Low,398,513.61,97,41.54,38.43
U100,25,Female,5.0,10,Non-Vegetarian,4.9,Medium,362,534.34,91,36.85,31.99
U101,21,Female,7.1,3,Vegetarian,2.6,High,499,208.04,80,100.0,96.96
U102,53,Female,8.3,3,Vegetarian,5.6,Medium,220,287.66,67,88.36,92.15
U103,48,Male,6.9,2,Vegetarian,9.5,High,50,349.02,51,71.88,72.52
U104,27,Female,7.4,6,Vegetarian,2.8,High,363,435.32,96,76.79,73.49
U105,58,Female,5.5,9,Non-Vegetarian,7.5,Medium,135,380.93,95,68.06,66.0
U106,59,Male,5.6,1,Non-Vegetarian,2.1,Low,143,445.83,67,57.39,60.23
U107,25,Male,8.9,10,Non-Vegetarian,10.6,Low,194,273.23,47,50.98,47.07
U108,47,Male,5.6,1,Non-Vegetarian,5.9,High,176,485.36,77,64.44,66.69
U109,31,Female,6.7,8,Vegan,10.7,Medium,146,298.99,69,68.1,64.92
U110,52,Female,9.7,9,Vegetarian,2.4,Medium,124,482.4,74,56.92,56.59
U111,20,Male,5.3,9,Non-Vegetarian,8.3,Low,415,448.72,76,30.06,31.43
U112,46,Female,7.4,1,Non-Vegetarian,7.0,Low,498,487.13,89,50.65,51.47
U113,33,Male,8.8,3,Non-Vegetarian,11.3,Medium,245,555.91,68,36.1,36.29
U114,27,Female,7.1,4,Non-Vegetarian,10.1,Low,293,344.9,91,68.21,67.81
U115,21,Female,8.7,5,Vegetarian,8.1,Low,282,514.89,88,42.8,39.26
U116,21,Male,7.6,3,Non-Vegetarian,10.9,High,341,483.02,87,59.03,54.67
U117,19,Male,5.5,3,Vegetarian,9.2,Low,456,357.53,87,60.99,58.8
U118,28,Female,6.6,3,Vegan,2.1,High,71,438.16,59,69.1,70.04
U119,32,Male,9.1,9,Vegetarian,11.1,Low,259,337.52,48,41.12,38.22
U120,28,Female,6.9,5,Vegetarian,3.4,Medium,304,569.01,89,47.28,46.46
U121,40,Female,8.4,5,Non-Vegetarian,3.6,Medium,377,340.31,73,78.64,78.19
U122,55,Female,8.9,3,Non-Vegetarian,9.1,Medium,19,533.51,70,48.85,50.87
U123,47,Female,7.4,2,Non-Vegetarian,2.2,High,54,440.87,93,89.44,87.51
U124,18,Female,7.4,10,Vegetarian,4.2,Medium,140,319.02,57,66.03,66.74
U125,50,Female,4.3,4,Non-Vegetarian,1.8,Low,419,521.3,47,21.14,25.01
U126,54,Female,7.2,6,Non-Vegetarian,9.8,High,34,397.58,84,72.76,69.82
U127,40,Male,5.6,7,Vegan,7.2,Low,59,373.44,98,66.98,70.31
U128,35,Female,5.7,6,Vegetarian,2.2,Medium,274,563.64,53,28.18,29.15
U129,27,Female,4.3,1,Vegetarian,9.9,Low,498,207.23,42,63.25,65.88
U130,34,Female,5.3,4,Vegetarian,11.0,Medium,114,461.97,59,41.32,44.33
U131,24,Male,8.2,1,Non-Vegetarian,6.2,Medium,114,209.2,46,95.95,97.86
U132,32,Other,9.3,3,Non-Vegetarian,8.8,High,77,212.51,43,93.94,90.21
U133,44,Male,6.6,4,Non-Vegetarian,8.5,Low,89,477.11,86,49.15,49.34
U134,26,Female,6.5,7,Vegetarian,3.2,Low,90,210.53,85,94.81,95.43
U135,38,Male,8.6,2,Non-Vegetarian,5.6,Medium,470,469.24,58,51.19,54.24
U136,54,Male,4.4,4,Vegetarian,11.5,Medium,147,345.86,77,66.47,63.9
U137,46,Male,9.6,8,Non-Vegetarian,2.2,High,257,390.2,82,80.73,83.32
U138,59,Male,4.4,5,Non-Vegetarian,5.1,Medium,104,384.69,65,62.46,59.29
U139,50,Female,4.9,4,Non-Vegetarian,2.7,Low,54,575.0,98,44.84,45.07
U140,23,Male,5.0,2,Non-Vegetarian,9.7,Low,47,566.59,61,21.58,20.14
U141,42,Male,9.3,7,Non-Vegetarian,2.5,Low,377,428.67,66,49.86,49.37
U142,52,Female,7.5,4,Non-Vegetarian,3.7,Medium,376,378.25,92,81.89,83.72
U143,34,Male,7.5,4,Vegetarian,5.7,Low,351,570.27,69,25.88,22.19
U144,44,Female,9.3,9,Non-Vegetarian,1.8,Medium,5,338.37,63,77.9,76.53
U145,57,Other,8.9,4,Non-Vegetarian,3.0,High,356,357.6,56,76.58,72.51
U146,42,Female,10.0,9,Non-Vegetarian,9.5,Medium,369,368.18,42,45.01,44.39
U147,29,Female,8.9,9,Non-Vegetarian,7.4,Medium,109,580.46,74,31.78,28.42
U148,54,Male,7.7,2,Vegan,2.4,Low,4,379.11,44,61.54,65.7
U149,57,Female,4.4,9,Vegetarian,3.9,Medium,343,279.05,46,59.58,64.1
U150,55,Male,5.2,9,Non-Vegetarian,2.7,Medium,494,521.68,68,30.52,28.73
U151,58,Male,8.1,10,Non-Vegetarian,4.3,Medium,247,543.68,62,30.2,31.83
U152,42,Female,7.5,8,Vegan,6.1,Low,67,229.35,50,70.28,72.43
U153,19,Male,4.9,4,Vegetarian,7.8,High,341,345.89,99,85.13,89.01
U154,18,Female,6.1,3,Non-Vegetarian,11.9,Low,448,312.11,49,46.87,48.83
U155,20,Male,9.6,1,Non-Vegetarian,10.7,High,145,479.36,75,65.86,67.36
U156,46,Male,8.2,9,Non-Vegetarian,2.6,Low,470,402.68,68,46.99,44.55
U157,31,Male,5.3,7,Non-Vegetarian,10.0,High,277,466.45,81,48.82,48.36
U158,51,Male,8.5,2,Non-Vegetarian,7.8,Low,5,383.9,66,65.22,67.44
U159,39,Female,4.5,8,Non-Vegetarian,7.2,Low,63,540.85,55,13.3,18.29
U160,53,Female,9.0,8,Vegetarian,6.4,Low,470,465.62,54,27.4,30.51
U161,32,Male,9.7,7,Vegetarian,5.0,Low,154,536.13,72,36.46,39.38
U162,54,Male,7.8,1,Non-Vegetarian,2.6,Low,292,511.64,49,38.09,41.29
U163,27,Male,5.0,7,Vegan,7.4,Medium,151,502.74,66,36.09,37.78
U164,26,Female,4.2,8,Non-Vegetarian,10.7,Medium,5,448.98,89,50.92,49.77
U165,52,Male,7.7,2,Vegetarian,8.5,High,219,453.39,51,54.2,54.31
U166,59,Male,4.7,6,Vegetarian,9.4,Medium,143,489.37,79,43.38,40.15
U167,34,Female,9.8,9,Vegan,1.9,Medium,415,522.55,40,28.36,27.02
U168,35,Male,7.5,8,Vegan,2.9,High,10,462.88,48,51.3,47.26
U169,42,Male,6.5,8,Vegetarian,9.2,Medium,46,280.77,93,86.99,82.63
U170,52,Male,4.0,7,Vegetarian,10.4,Medium,114,584.2,53,10.25,6.41
U171,33,Female,8.2,8,Non-Vegetarian,6.3,Medium,391,448.69,67,46.85,44.28
U172,42,Male,7.8,4,Vegetarian,10.0,Medium,492,419.46,83,59.35,64.19
U173,33,Female,6.7,4,Vegetarian,4.2,Low,1,290.29,64,77.7,74.88
U174,58,Male,9.3,1,Vegetarian,5.3,Medium,481,325.64,49,74.26,77.89
U175,41,Female,6.5,5,Non-Vegetarian,1.7,Low,416,426.01,92,62.13,66.42
U176,29,Female,5.4,6,Non-Vegetarian,4.1,High,244,581.58,41,21.34,17.57
U177,52,Male,8.0,6,Vegetarian,1.1,High,349,447.34,57,59.31,61.2
U178,26,Female,9.5,9,Non-Vegetarian,11.7,Medium,139,574.72,68,23.88,18.89
U179,54,Female,9.9,2,Vegetarian,1.1,Medium,295,346.97,77,93.92,94.18
U180,49,Male,4.0,6,Non-Vegetarian,1.3,Low,120,488.47,47,28.74,31.86
U181,36,Male,6.0,4,Non-Vegetarian,6.7,Low,493,434.19,40,26.73,23.34
U182,39,Female,6.8,5,Non-Vegetarian,11.7,Low,157,484.44,71,32.67,30.4
U183,51,Male,8.4,4,Non-Vegetarian,2.9,Medium,64,395.47,78,81.26,81.05
U184,36,Male,6.3,8,Non-Vegetarian,11.1,Medium,32,483.53,57,32.22,32.92
U185,29,Male,7.3,3,Vegan,4.2,Medium,83,424.51,80,74.89,76.94
U186,35,Female,6.3,6,Non-Vegetarian,5.9,Low,33,210.36,63,82.53,86.56
U187,22,Female,4.3,6,Non-Vegetarian,4.2,High,385,551.95,56,28.61,29.42
U188,43,Male,6.9,6,Vegetarian,2.6,Medium,449,279.7,58,76.3,73.59
U189,44,Male,9.5,9,Non-Vegetarian,11.1,Medium,198,452.13,42,31.03,28.5
U190,37,Female,6.5,5,Vegetarian,8.7,Low,110,270.09,79,77.24,79.27
U191,25,Female,7.5,2,Vegetarian,8.0,Medium,256,342.79,63,73.25,72.73
U192,33,Female,4.1,8,Non-Vegetarian,3.3,Medium,433,381.51,97,68.5,68.14
U193,19,Male,8.7,9,Non-Vegetarian,8.9,Low,426,366.76,61,41.9,37.13
U194,18,Male,9.6,1,Non-Vegetarian,3.3,Low,41,583.08,72,45.25,49.03
U195,22,Male,9.9,8,Vegan,8.8,Medium,124,411.26,97,73.08,71.18
U196,48,Male,5.7,5,Vegetarian,1.2,Low,492,258.61,56,69.66,70.05
U197,40,Female,5.4,4,Non-Vegetarian,3.8,High,363,347.42,64,73.94,73.71
U198,38,Other,9.1,2,Vegetarian,3.3,Low,314,274.2,60,82.27,82.71
U199,29,Female,9.7,4,Non-Vegetarian,8.1,High,227,276.83,75,96.07,96.11
U200,21,Female,9.6,8,Non-Vegetarian,7.4,Medium,269,506.36,53,33.83,29.44
U201,54,Female,4.5,6,Non-Vegetarian,3.6,Medium,47,251.88,97,100.0,100.0
U202,28,Female,6.6,8,Non-Vegetarian,4.3,Low,349,481.2,58,27.57,26.2
U203,59,Female,5.0,8,Vegetarian,3.0,Low,410,367.85,57,43.49,40.11
U204,57,Male,6.5,7,Non-Vegetarian,9.9,Low,46,401.63,65,43.79,48.03
U205,26,Male,6.3,6,Vegan,9.7,Medium,231,520.59,43,21.17,17.67
U206,43,Female,7.3,9,Non-Vegetarian,10.6,Medium,397,200.82,83,85.79,86.81
U207,56,Male,6.1,3,Non-Vegetarian,8.2,High,7,381.23,44,62.22,64.2
U208,44,Female,6.4,9,Non-Vegetarian,10.6,Low,483,321.0,83,52.24,54.95
U209,46,Male,4.6,1,Vegan,6.2,Low,18,456.43,93,62.97,64.76
U210,42,Female,4.9,10,Vegetarian,2.2,Medium,157,534.94,60,29.2,27.12
U211,35,Male,8.9,5,Vegan,10.1,Medium,224,345.39,60,65.6,66.57
U212,47,Female,7.3,2,Non-Vegetarian,10.8,Low,301,366.97,81,62.72,61.27
U213,25,Female,6.1,10,Non-Vegetarian,9.3,Low,344,560.0,74,10.04,13.77
U214,19,Male,8.2,6,Non-Vegetarian,5.6,Low,469,518.14,44,17.26,14.47
U215,39,Female,6.8,1,Vegetarian,11.3,Low,292,515.39,98,46.91,43.55
U216,38,Other,10.0,8,Non-Vegetarian,4.7,Low,61,205.33,74,93.51,90.64
U217,56,Female,6.7,3,Non-Vegetarian,6.9,Low,411,597.98,87,27.67,24.14
U218,43,Male,9.9,4,Non-Vegetarian,2.1,Low,46,451.85,75,64.92,65.52
U219,46,Male,4.2,8,Vegetarian,5.8,High,203,519.42,92,49.07,51.42
U220,22,Female,7.7,3,Non-Vegetarian,10.5,Medium,27,270.36,42,74.05,74.45
U221,31,Female,4.3,2,Non-Vegetarian,2.1,Medium,269,571.9,73,42.25,40.88
U222,52,Female,8.1,7,Vegetarian,10.8,Medium,472,474.99,43,23.89,21.19
U223,23,Female,7.7,4,Vegetarian,11.6,High,242,229.91,80,96.84,98.03
U224,40,Male,6.5,8,Vegetarian,7.8,Medium,302,276.64,41,58.65,55.77
U225,34,Female,7.2,2,Non-Vegetarian,11.0,Low,238,490.52,70,37.39,35.45
U226,41,Female,5.2,9,Non-Vegetarian,1.3,Medium,201,485.88,55,37.95,38.47
U227,57,Female,6.0,7,Non-Vegetarian,2.3,High,396,540.08,76,44.62,49.3
U228,46,Female,5.6,2,Vegetarian,2.8,Medium,325,293.94,53,79.01,75.83
U229,47,Male,4.0,8,Vegan,3.2,Low,367,481.04,58,23.69,24.08
U230,41,Female,5.1,4,Vegetarian,3.9,Medium,405,542.45,42,23.84,26.65
U231,52,Female,8.1,3,Non-Vegetarian,8.1,Medium,80,286.74,96,100.0,97.64
U232,54,Female,4.7,6,Non-Vegetarian,5.4,High,233,438.2,49,46.11,43.93
U233,19,Male,7.1,8,Non-Vegetarian,11.1,Low,73,415.47,53,32.34,35.5
U234,38,Male,8.5,2,Non-Vegetarian,8.5,Low,455,546.38,68,29.09,33.87
U235,57,Male,8.8,7,Non-Vegetarian,4.8,High,108,280.15,64,89.55,88.92
U236,58,Female,9.5,1,Non-Vegetarian,3.3,Low,82,356.53,52,71.99,69.02
U237,22,Male,6.9,8,Non-Vegetarian,7.7,High,166,285.89,45,67.78,69.76
U238,52,Male,7.1,3,Non-Vegetarian,3.7,Low,415,414.41,74,57.28,56.64
U239,52,Female,9.2,2,Vegetarian,8.6,Medium,438,426.9,40,46.59,45.51
U240,36,Male,8.2,8,Non-Vegetarian,7.1,Low,424,290.3,70,62.89,65.77
U241,33,Male,7.8,7,Non-Vegetarian,5.1,Medium,344,336.73,78,74.95,72.59
U242,42,Male,5.9,8,Non-Vegetarian,1.0,High,57,253.23,58,89.96,94.94
U243,33,Male,9.6,7,Non-Vegetarian,11.5,High,128,495.29,43,34.34,39.32
U244,48,Female,8.2,8,Non-Vegetarian,9.3,Medium,499,504.05,93,43.96,45.92
U245,50,Female,8.8,2,Vegetarian,10.5,Low,466,228.1,66,78.51,81.07
U246,34,Male,6.0,4,Vegan,11.4,Low,186,227.43,43,61.78,59.74
U247,38,Female,5.2,9,Vegetarian,6.9,High,448,571.69,67,21.31,21.5
U248,52,Male,7.3,4,Vegan,6.3,Low,229,454.29,66,44.86,43.63
U249,40,Female,8.9,9,Vegetarian,8.7,Medium,143,479.97,82,49.9,49.76
U250,33,Female,5.9,1,Vegan,8.8,High,38,210.56,92,100.0,99.3
U251,55,Male,9.6,8,Non-Vegetarian,1.3,Medium,239,382.36,84,79.74,76.83
U252,31,Female,6.3,2,Non-Vegetarian,11.0,High,183,565.35,83,45.71,49.19
U253,57,Male,8.3,4,Non-Vegetarian,11.2,Medium,94,251.11,54,80.07,78.49
U254,58,Male,8.4,10,Non-Vegetarian,3.4,High,282,542.67,46,28.62,30.76
U255,50,Male,8.3,3,Vegetarian,10.4,Medium,12,208.78,80,100.0,100.0
U256,38,Male,7.2,10,Non-Vegetarian,12.0,Medium,400,238.25,52,59.69,60.31
U257,34,Male,8.9,1,Non-Vegetarian,3.6,Medium,78,349.61,77,94.07,97.76
U258,21,Male,8.3,4,Vegan,7.4,Medium,202,200.91,92,100.0,100.0
U259,33,Female,8.6,9,Non-Vegetarian,7.5,Medium,423,320.24,81,71.62,72.33
U260,47,Male,9.5,6,Non-Vegetarian,1.7,Medium,403,416.94,80,71.9,70.46
U261,51,Male,6.1,10,Vegan,6.9,Low,324,545.41,90,24.47,24.14
U262,39,Male,9.8,4,Vegetarian,3.1,High,97,489.9,50,58.36,56.12
U263,59,Male,9.5,3,Vegan,12.0,Low,149,537.05,53,24.01,19.31
U264,46,Male,8.6,6,Vegetarian,4.2,Low,463,335.81,54,55.67,60.66
U265,22,Female,7.3,9,Non-Vegetarian,11.6,Low,10,532.03,40,5.33,8.8
U266,18,Male,4.0,1,Vegetarian,1.4,Low,272,331.38,53,64.73,69.6
U267,57,Female,8.5,8,Vegetarian,1.7,Low,223,265.92,97,93.17,95.42
U268,42,Male,9.5,5,Non-Vegetarian,5.9,Medium,71,309.72,92,98.11,100.0
U269,23,Female,6.7,9,Non-Vegetarian,5.1,Low,178,251.74,49,61.73,61.35
U270,40,Female,5.3,6,Vegetarian,12.0,Medium,35,397.21,76,56.7,53.67
U271,50,Male,8.4,8,Vegetarian,2.4,High,59,308.8,63,86.05,82.3
U272,31,Male,7.6,6,Vegan,8.0,Low,186,397.83,82,57.18,60.35
U273,59,Male,10.0,6,Vegan,10.0,High,434,512.46,40,28.91,32.2
U274,53,Male,5.1,9,Vegetarian,1.3,High,203,578.49,58,28.77,30.46
U275,35,Male,5.9,5,Vegetarian,1.0,Low,397,463.95,88,54.04,57.48
U276,57,Female,9.1,10,Vegetarian,3.8,Low,57,483.77,78,44.73,42.77
U277,27,Female,8.0,10,Vegan,9.3,Medium,407,249.53,51,62.82,64.9
U278,56,Male,9.0,5,Non-Vegetarian,11.5,High,333,366.39,69,67.53,63.42
U279,29,Female,8.2,4,Vegetarian,4.1,Medium,70,415.41,45,59.12,61.46
U280,55,Female,5.3,7,Non-Vegetarian,8.5,Low,27,414.68,57,37.7,42.17
U281,40,Female,7.6,1,Non-Vegetarian,11.9,Low,392,229.55,84,86.25,90.62
U282,24,Male,9.6,4,Non-Vegetarian,3.2,High,368,395.04,87,86.7,89.66
U283,42,Male,7.9,1,Vegetarian,1.8,Low,368,435.79,98,75.11,79.69
U284,30,Male,7.9,3,Vegan,7.3,Low,340,216.59,68,84.95,86.66
U285,55,Female,9.0,7,Non-Vegetarian,10.7,Low,432,458.65,49,22.37,23.39
U286,36,Female,8.2,5,Non-Vegetarian,9.1,Medium,235,497.25,87,53.68,58.53
U287,39,Male,8.8,10,Non-Vegetarian,1.9,Medium,482,567.65,43,17.0,22.0
U288,58,Male,5.8,1,Non-Vegetarian,11.7,High,492,290.16,59,73.35,71.24
U289,28,Female,7.2,10,Vegan,1.6,Medium,189,550.82,43,22.92,26.07
U290,59,Male,9.2,2,Non-Vegetarian,3.6,High,440,571.33,69,49.48,51.71
U291,20,Male,7.9,1,Non-Vegetarian,11.1,Medium,127,336.45,99,93.04,95.04
U292,36,Female,6.0,5,Vegetarian,9.8,Medium,473,534.97,65,26.18,21.39
U293,44,Male,5.7,6,Non-Vegetarian,5.6,High,460,315.72,60,69.18,66.68
U294,24,Female,8.6,4,Non-Vegetarian,8.6,Low,2,433.45,88,63.02,66.52
U295,54,Male,8.1,10,Vegetarian,6.1,High,132,204.92,57,88.76,89.39
U296,44,Female,6.9,3,Non-Vegetarian,9.4,Low,9,348.38,80,70.46,72.48
U297,51,Female,5.2,7,Non-Vegetarian,6.7,Medium,2,448.37,71,52.08,50.07
U298,28,Female,5.8,9,Non-Vegetarian,9.8,Medium,444,550.3,66,16.3,16.76
U299,55,Male,9.3,4,Vegan,11.1,Low,63,308.32,42,57.3,58.17
U300,22,Male,6.1,6,Vegetarian,10.1,Medium,490,552.64,95,35.64,33.26
U301,24,Male,7.1,1,Non-Vegetarian,9.1,High,1,559.16,92,61.34,60.15
